Fiscal Year,Automobile,Bike,Carpool,Commuter Rail,Electric Vehicle,Light Rail,Public Bus,Telecommuting,Walk
2009,100,0,0,0,0,0,0,0,0
2010,125,0,0,0,0,0,0,0,0
2011,150,0,0,0,0,0,0,0,0
2012,150,0,0,0,0,0,0,0,0
2013,150,0,0,0,0,0,0,0,0
2014,150,0,0,0,0,0,0,0,0
2015,220,0,0,0,0,0,0,0,0
2016,200,0,0,0,0,0,0,0,0
2017,200,0,0,0,0,0,0,0,0
2018,200,0,0,0,0,0,0,0,0
2019,150,0,0,0,0,0,0,0,0
2020,100,0,9,0,0,0,1,0,0
2021,15,0,1,0,0,0,0,0,0
2022,293,0,2,0,0,0,2,0,0
2023,151,0,1,0,10,0,0,0,0
2024,148,0,1,0,10,0,0,0,0